Anio,GrupoEdad,Total_Poblacion,Total_Hombres,Total_Mujeres
1990,0 a 4 años,20390356,10320004,10070352
1990,05 a 9 años,21124468,10676570,10447898
1990,10 a 14 años,20778184,10461316,10316868
1990,15 a 19 años,19328806,9519784,9809022
1990,20 a 24 años,15658326,7476256,8182070
1990,25 a 29 años,12809024,6101190,6707834
1990,30 a 34 años,10775238,5157472,5617766
1990,35 a 39 años,9158232,4421130,4737102
1990,40 a 44 años,6995540,3410026,3585514
1990,45 a 49 años,5943720,2905146,3038574
1990,50 a 54 años,4787582,2323750,2463832
1990,55 a 59 años,3788968,1837728,1951240
1990,60 a 64 años,3222634,1539834,1682800
1990,65 a 69 años,2367302,1135282,1232020
1990,70 a 74 años,1654054,788062,865992
1990,75 años y más,2732326,1234272,1498054
1990,No especificado,984530,480116,504414
1995,0 a 4 años,21448200,10898712,10549488
1995,05 a 9 años,21735126,11031288,10703838
1995,10 a 14 años,21340096,10808522,10531574
1995,15 a 19 años,20284142,10044486,10239656
1995,20 a 24 años,18794848,9077372,9717476
1995,25 a 29 años,15226180,7305990,7920190
1995,30 a 34 años,13129210,6304924,6824286
1995,35 a 39 años,11640356,5608592,6031764
1995,40 a 44 años,8868634,4346082,4522552
1995,45 a 49 años,7224904,3527010,3697894
1995,50 a 54 años,5792098,2837016,2955082
1995,55 a 59 años,4463794,2166586,2297208
1995,60 a 64 años,3883906,1859300,2024606
1995,65 a 69 años,2851618,1348008,1503610
1995,70 a 74 años,2159606,1042138,1117468
1995,75 años y más,3044156,1388552,1655604
1995,No especificado,429706,206420,223286
2000,0 a 4 años,21270314,10802612,10467702
2000,05 a 9 años,22430646,11355422,11075224
2000,10 a 14 años,21472986,10871474,10601512
2000,15 a 19 años,19984270,9819296,10164974
2000,20 a 24 años,18142268,8607200,9535068
2000,25 a 29 años,16315486,7722964,8592522
2000,30 a 34 años,14273046,6766712,7506334
2000,35 a 39 años,12705076,6046656,6658420
2000,40 a 44 años,10389666,4989542,5400124
2000,45 a 49 años,8144182,3914354,4229828
2000,50 a 54 años,6715906,3248066,3467840
2000,55 a 59 años,5118462,2468144,2650318
2000,60 a 64 años,4396292,2090808,2305484
2000,65 a 69 años,3321570,1559332,1762238
2000,70 a 74 años,2491348,1178212,1313136
2000,75 años y más,3687704,1676362,2011342
2000,No especificado,4107602,2067350,2040252
2005,0 a 4 años,20372486,10351826,10020660
2005,05 a 9 años,21023476,10678254,10345222
2005,10 a 14 años,21904246,11091820,10812426
2005,15 a 19 años,20218042,9991812,10226230
2005,20 a 24 años,17929258,8506880,9422378
2005,25 a 29 años,16206716,7611448,8595268
2005,30 a 34 años,15867902,7491948,8375954
2005,35 a 39 años,14225052,6742744,7482308
2005,40 a 44 años,12034536,5743098,6291438
2005,45 a 49 años,10030510,4776298,5254212
2005,50 a 54 años,8181300,3919440,4261860
2005,55 a 59 años,6234142,2995962,3238180
2005,60 a 64 años,5244952,2487576,2757376
2005,65 a 69 años,3916138,1845184,2070954
2005,70 a 74 años,2993382,1406554,1586828
2005,75 años y más,4523198,2046668,2476530
2005,No especificado,5621440,2812398,2809042
2010,0 a 4 años,21056644,10693886,10362758
2010,05 a 9 años,22095074,11208350,10886724
2010,10 a 14 años,21879874,11095226,10784648
2010,15 a 19 años,22052224,11040242,11011982
2010,20 a 24 años,19784542,9626408,10158134
2010,25 a 29 años,17576354,8411950,9164404
2010,30 a 34 años,16941596,8052062,8889534
2010,35 a 39 años,16585974,7929476,8656498
2010,40 a 44 años,14018452,6700644,7317808
2010,45 a 49 años,11857460,5648728,6208732
2010,50 a 54 años,10128582,4804902,5323680
2010,55 a 59 años,7790730,3739074,4051656
2010,60 a 64 años,6232932,2953334,3279598
2010,65 a 69 años,4634530,2190546,2443984
2010,70 a 74 años,3747868,1747786,2000082
2010,75 años y más,5495428,2467410,3028018
2010,No especificado,2794812,1400438,1394374
2015,0 a 4 años,21052278,10681390,10370888
2015,05 a 9 años,21994378,11163748,10830630
2015,10 a 14 años,22456464,11353662,11102802
2015,15 a 19 años,21544594,10823144,10721450
2015,20 a 24 años,21331632,10471390,10860242
2015,25 a 29 años,18505192,8845326,9659866
2015,30 a 34 años,17861504,8467128,9394376
2015,35 a 39 años,17218874,8127496,9091378
2015,40 a 44 años,16417988,7816102,8601886
2015,45 a 49 años,13628286,6426778,7201508
2015,50 a 54 años,12310612,5796694,6513918
2015,55 a 59 años,9693524,4554022,5139502
2015,60 a 64 años,7779510,3649508,4130002
2015,65 a 69 años,5974632,2791894,3182738
2015,70 a 74 años,4414932,2053874,2361058
2015,75 años y más,6703568,3005322,3698246
2015,No especificado,173538,84788,88750
2020,0 a 4 años,20094730,10154964,9939766
2020,05 a 9 años,21528758,10906182,10622576
2020,10 a 14 años,21887080,11108520,10778560
2020,15 a 19 años,21613380,10924300,10689080
2020,20 a 24 años,20844190,10331768,10512422
2020,25 a 29 años,19986002,9722808,10263194
2020,30 a 34 años,18841654,9055452,9786202
2020,35 a 39 años,18040552,8663060,9377492
2020,40 a 44 años,17007172,8124608,8882564
2020,45 a 49 años,15884826,7624688,8260138
2020,50 a 54 años,14075064,6664326,7410738
2020,55 a 59 años,11391916,5385952,6005964
2020,60 a 64 años,9642124,4515724,5126400
2020,65 a 69 años,7290154,3413700,3876454
2020,70 a 74 años,5294680,2466984,2827696
2020,75 años y más,8058994,3611356,4447638
2020,No especificado,546772,272388,274384
